UID        PID  PPID  C STIME TTY          TIME CMD
root         1     0  0 06:18 ?        00:00:01 /sbin/init
root         2     0  0 06:18 ?        00:00:00 [kthreadd]
root         3     2  0 06:18 ?        00:00:03 [ksoftirqd/0]
root         5     2  0 06:18 ?        00:00:00 [kworker/0:0H]
root         7     2  0 06:18 ?        00:00:00 [kworker/u:0H]
root         8     2  0 06:18 ?        00:00:01 [migration/0]
root         9     2  0 06:18 ?        00:00:00 [rcu_bh]
root        10     2  0 06:18 ?        00:01:25 [rcu_sched]
root        11     2  0 06:18 ?        00:00:00 [watchdog/0]
root        12     2  0 06:18 ?        00:00:00 [watchdog/1]
root        13     2  0 06:18 ?        00:00:04 [ksoftirqd/1]
root        14     2  0 06:18 ?        00:00:01 [migration/1]
root        16     2  0 06:18 ?        00:00:00 [kworker/1:0H]
root        17     2  0 06:18 ?        00:00:00 [cpuset]
root        18     2  0 06:18 ?        00:00:00 [khelper]
root        19     2  0 06:18 ?        00:00:00 [kdevtmpfs]
root        20     2  0 06:18 ?        00:00:00 [netns]
root        21     2  0 06:18 ?        00:00:00 [bdi-default]
root        22     2  0 06:18 ?        00:00:00 [kintegrityd]
root        23     2  0 06:18 ?        00:00:00 [kblockd]
root        24     2  0 06:18 ?        00:00:00 [xenbus_frontend]
root        25     2  0 06:18 ?        00:00:00 [ata_sff]
root        26     2  0 06:18 ?        00:00:00 [khubd]
root        27     2  0 06:18 ?        00:00:00 [md]
root        30     2  0 06:18 ?        00:00:00 [khungtaskd]
root        31     2  0 06:18 ?        00:00:35 [kswapd0]
root        32     2  0 06:18 ?        00:00:00 [ksmd]
root        33     2  0 06:18 ?        00:00:00 [fsnotify_mark]
root        34     2  0 06:18 ?        00:00:00 [crypto]
root        43     2  0 06:18 ?        00:00:00 [kthrotld]
root        45     2  0 06:18 ?        00:00:00 [kpsmoused]
root        46     2  0 06:18 ?        00:00:00 [deferwq]
root       140     2  0 06:18 ?        00:00:00 [scsi_eh_0]
root       141     2  0 06:18 ?        00:00:00 [scsi_eh_1]
root       142     2  0 06:18 ?        00:00:00 [kworker/u:2]
root       143     2  0 06:18 ?        00:00:00 [kworker/u:3]
root       155     2  0 06:18 ?        00:00:00 [scsi_eh_2]
root       156     2  0 06:18 ?        00:00:00 [scsi_eh_3]
root       157     2  0 06:18 ?        00:00:00 [scsi_eh_4]
root       158     2  0 06:18 ?        00:00:00 [scsi_eh_5]
root       212     2  0 06:18 ?        00:00:04 [kworker/0:1H]
root       229     2  0 06:18 ?        00:00:00 [kworker/1:1H]
root       249     2  0 06:18 ?        00:00:00 [btrfs-genwork-1]
root       250     2  0 06:18 ?        00:00:01 [btrfs-submit-1]
root       251     2  0 06:18 ?        00:00:00 [btrfs-delalloc-]
root       252     2  0 06:18 ?        00:00:00 [btrfs-fixup-1]
root       255     2  0 06:18 ?        00:00:00 [btrfs-endio-met]
root       257     2  0 06:18 ?        00:00:00 [btrfs-freespace]
root       259     2  0 06:18 ?        00:00:00 [btrfs-cache-1]
root       260     2  0 06:18 ?        00:00:00 [btrfs-readahead]
root       261     2  0 06:18 ?        00:00:00 [btrfs-flush_del]
root       262     2  0 06:18 ?        00:00:00 [btrfs-cleaner]
root       263     2  0 06:18 ?        00:00:01 [btrfs-transacti]
root       375     2  0 06:18 ?        00:00:00 [iprt]
root       693     2  0 06:18 ?        00:00:00 [jbd2/sda1-8]
root       694     2  0 06:18 ?        00:00:00 [ext4-dio-unwrit]
root       727     2  0 06:18 ?        00:00:00 [kauditd]
root       875     2  0 06:18 ?        00:00:01 [flush-btrfs-1]
root       944     1  0 06:18 ?        00:00:02 auditd
root       969     1  0 06:18 ?        00:00:00 /sbin/rsyslogd -i /var/run/syslogd.pid -c 5
dbus       981     1  0 06:18 ?        00:00:00 dbus-daemon --system
root       996     1  0 06:18 ?        00:00:00 cupsd -C /etc/cups/cupsd.conf
root      1085     1  0 06:18 ?        00:00:04 /usr/sbin/VBoxService
root      1104     1  0 06:18 ?        00:00:00 /usr/sbin/sshd
root      1180     1  0 06:18 ?        00:00:00 /usr/libexec/postfix/master
postfix   1189  1180  0 06:18 ?        00:00:00 qmgr -l -t fifo -u
root      1190     1  0 06:18 ?        00:00:00 crond
root      1201     1  0 06:18 ?        00:00:00 /usr/sbin/atd
root      1219     1  0 06:18 tty1     00:00:00 /sbin/mingetty /dev/tty1
root      1221     1  0 06:18 tty2     00:00:00 /sbin/mingetty /dev/tty2
root      1223     1  0 06:18 tty3     00:00:00 /sbin/mingetty /dev/tty3
root      1225     1  0 06:18 tty4     00:00:00 /sbin/mingetty /dev/tty4
root      1228     1  0 06:18 tty5     00:00:00 /sbin/mingetty /dev/tty5
root      1230     1  0 06:18 tty6     00:00:00 /sbin/mingetty /dev/tty6
